"Id","StoreId","DayOfWeek","StartTime","EndTime","InfoTextDe","InfoTextEn","ShowInfoTextInsteadOfTime"
3075061,"faae786e-be2e-4c8e-8184-582ab07775fb",5,"2021-09-23 11:30:00","2021-09-23 14:00:00",NULL,NULL,False
3078071,"258321ee-3f56-48c1-98aa-ffcab060a840",4,"2021-09-23 17:00:00","2021-09-23 22:30:00",NULL,NULL,False
3079212,"c0700119-4f1e-4666-935e-4c435fd778da",4,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3123096,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",5,"2021-09-30 17:00:00","2021-09-30 22:30:00",NULL,NULL,False
3079213,"c0700119-4f1e-4666-935e-4c435fd778da",3,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3079214,"c0700119-4f1e-4666-935e-4c435fd778da",2,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3078072,"258321ee-3f56-48c1-98aa-ffcab060a840",3,"2021-09-23 17:00:00","2021-09-23 22:30:00",NULL,NULL,False
3123097,"fa17e91f-cdfb-4912-81c9-92cd0b87328e",0,"2021-09-30 17:00:00","2021-09-30 20:00:00",NULL,NULL,False
3123098,"fa17e91f-cdfb-4912-81c9-92cd0b87328e",0,"2021-09-30 11:00:00","2021-09-30 14:00:00",NULL,NULL,False
3123099,"fa17e91f-cdfb-4912-81c9-92cd0b87328e",6,"2021-09-30 17:00:00","2021-09-30 20:00:00",NULL,NULL,False
3123100,"fa17e91f-cdfb-4912-81c9-92cd0b87328e",5,"2021-09-30 17:00:00","2021-09-30 20:00:00",NULL,NULL,False
3232544,"a67741f9-fe10-4ee7-8df0-346076be872b",2,"2021-10-22 11:15:00","2021-10-22 22:30:00",NULL,NULL,False
3077739,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",1,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
3077740,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",2,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3077741,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",2,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
3077742,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",3,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3077743,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",0,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3077744,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",3,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
3077745,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",4,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3077746,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",4,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
3077747,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",5,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3077748,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",5,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
